Sector,Fecha,Hora,Mp10,Mp2_5
amanecer ,27/04/2019,12,72,70
centro ,27/04/2019,12,44,42
universidad ,27/04/2019,12,34,32
amanecer ,27/04/2019,13,40,39
centro ,27/04/2019,13,33,31
universidad ,27/04/2019,13,16,15
amanecer ,27/04/2019,14,42,41
centro ,27/04/2019,14,36,34
universidad ,27/04/2019,14,29,27
amanecer ,27/04/2019,15,35,34
centro ,27/04/2019,15,34,32
universidad ,27/04/2019,15,21,20
amanecer ,27/04/2019,16,40,38
centro ,27/04/2019,16,23,21
universidad ,27/04/2019,16,17,16
amanecer ,27/04/2019,17,72,71
centro ,27/04/2019,17,21,19
universidad ,27/04/2019,17,24,22
amanecer ,27/04/2019,18,144,139
centro ,27/04/2019,18,60,57
universidad ,27/04/2019,18,102,99
amanecer ,27/04/2019,19,171,165
centro ,27/04/2019,19,89,85
universidad ,27/04/2019,19,134,131
amanecer ,27/04/2019,20,166,161
centro ,27/04/2019,20,140,133
universidad ,27/04/2019,20,129,126
amanecer ,27/04/2019,21,143,139
centro ,27/04/2019,21,88,84
universidad ,27/04/2019,21,106,103
amanecer ,27/04/2019,22,147,143
centro ,27/04/2019,22,95,91
universidad ,27/04/2019,22,103,100
amanecer ,27/04/2019,23,123,120
centro ,27/04/2019,23,112,106
universidad ,27/04/2019,23,92,90
amanecer ,28/04/2019,0,82,80
centro ,28/04/2019,0,86,81
universidad ,28/04/2019,0,69,67
amanecer ,28/04/2019,1,56,54
centro ,28/04/2019,1,65,62
universidad ,28/04/2019,1,61,59
amanecer ,28/04/2019,2,38,37
centro ,28/04/2019,2,44,42
universidad ,28/04/2019,2,41,39
amanecer ,28/04/2019,3,25,24
centro ,28/04/2019,3,24,23
universidad ,28/04/2019,3,22,21
amanecer ,28/04/2019,4,29,28
centro ,28/04/2019,4,25,23
universidad ,28/04/2019,4,21,20
amanecer ,28/04/2019,5,39,38
centro ,28/04/2019,5,25,24
universidad ,28/04/2019,5,26,25
amanecer ,28/04/2019,6,47,46
centro ,28/04/2019,6,32,31
universidad ,28/04/2019,6,40,38
amanecer ,28/04/2019,7,36,34
centro ,28/04/2019,7,37,35
universidad ,28/04/2019,7,26,24
amanecer ,28/04/2019,8,50,49
centro ,28/04/2019,8,32,30
universidad ,28/04/2019,8,38,36
amanecer ,28/04/2019,9,31,31
centro ,28/04/2019,9,29,27
universidad ,28/04/2019,9,19,18
amanecer ,28/04/2019,10,31,30
centro ,28/04/2019,10,12,11
universidad ,28/04/2019,10,8,7
amanecer ,28/04/2019,11,31,30
centro ,28/04/2019,11,8,7
universidad ,28/04/2019,11,7,6
amanecer ,28/04/2019,12,31,30
centro ,28/04/2019,12,8,7
universidad ,28/04/2019,12,7,6
amanecer ,28/04/2019,13,30,29
centro ,28/04/2019,13,5,5
universidad ,28/04/2019,13,6,5
amanecer ,28/04/2019,14,25,24
centro ,28/04/2019,14,6,5
universidad ,28/04/2019,14,6,5
amanecer ,28/04/2019,15,31,30
centro ,28/04/2019,15,6,5
universidad ,28/04/2019,15,7,6
amanecer ,28/04/2019,16,37,36
centro ,28/04/2019,16,6,5
universidad ,28/04/2019,16,7,6
amanecer ,28/04/2019,17,61,59
centro ,28/04/2019,17,11,10
universidad ,28/04/2019,17,10,9
amanecer ,28/04/2019,18,310,295
centro ,28/04/2019,18,64,59
universidad ,28/04/2019,18,27,25
amanecer ,28/04/2019,19,557,527
centro ,28/04/2019,19,101,95
universidad ,28/04/2019,19,84,82
amanecer ,28/04/2019,20,475,448
centro ,28/04/2019,20,88,82
universidad ,28/04/2019,20,192,188
amanecer ,28/04/2019,21,314,297
centro ,28/04/2019,21,65,61
universidad ,28/04/2019,21,142,139
amanecer ,28/04/2019,22,68,66
centro ,28/04/2019,22,48,45
universidad ,28/04/2019,22,37,36
amanecer ,28/04/2019,23,73,71
centro ,28/04/2019,23,25,23
universidad ,28/04/2019,23,26,25
amanecer ,29/04/2019,0,82,78
centro ,29/04/2019,0,20,19
universidad ,29/04/2019,0,21,20
amanecer ,29/04/2019,1,39,38
centro ,29/04/2019,1,16,14
universidad ,29/04/2019,1,17,16
amanecer ,29/04/2019,2,12,11
centro ,29/04/2019,2,10,9
